size_sqft,bedrooms,bathrooms,age_years,location_score,price_lakhs
2716.9,6,1,1,8,161.59
3550.1,2,3,31,1,76.72
3312.9,3,3,12,10,177.11
1153.0,1,1,26,5,62.03
3624.0,5,4,40,4,121.01
2387.7,5,3,16,2,94.67
3326.0,4,4,39,8,131.56
3636.3,2,2,30,3,94.8
1613.0,1,3,33,4,71.91
885.2,2,4,23,7,89.09
1297.8,1,4,34,10,103.35
1994.9,4,2,5,9,135.67
3363.1,4,4,18,2,107.82
3512.6,5,4,29,3,131.73
524.3,2,2,6,4,63.43
2287.6,6,3,9,10,163.91
1960.9,5,4,40,1,61.24
1277.4,2,4,31,7,81.44
919.5,5,4,33,2,35.36
1681.7,6,1,27,5,82.27
3800.2,3,2,14,1,109.27
1631.2,3,1,29,3,65.8
2315.8,3,2,36,2,74.54
2960.6,3,3,28,1,82.28
1772.7,1,3,21,7,104.06
3901.2,3,4,3,5,148.58
3868.6,6,2,19,1,122.02
1381.2,4,3,31,6,81.13
2240.4,4,2,35,5,82.7
1553.1,1,3,3,3,88.83
1496.9,3,1,26,7,83.31
629.1,3,3,16,10,140.43
2633.5,3,1,11,9,148.17
2259.4,5,3,21,9,146.37
680.2,2,4,16,9,100.72
1475.3,5,1,9,2,72.65
3678.9,2,3,0,3,126.81
1338.5,3,4,21,7,99.55
1007.1,3,1,25,5,77.97
2213.1,5,4,17,2,87.17
3949.8,5,2,13,3,142.77
1347.2,2,2,28,10,142.18
2852.5,4,1,11,6,127.79
3165.7,2,3,35,7,126.34
1331.7,5,1,34,9,112.73
3048.8,6,4,11,1,126.29
1787.2,5,3,6,7,128.62
2713.1,6,2,28,8,130.57
2717.4,1,3,10,3,88.18
2375.2,5,2,32,4,93.32
816.0,1,3,5,10,118.34
3423.6,4,3,14,6,164.87
1622.7,2,3,31,10,138.85
1152.8,6,4,10,7,108.71
642.7,2,4,22,4,56.15
2568.1,1,1,25,8,121.6
2871.5,6,1,33,5,125.5
558.1,2,2,33,1,24.33
2292.3,5,4,28,4,93.97
1292.7,3,2,3,3,80.87
2758.1,1,1,16,9,133.58
1110.3,2,2,34,8,96.03
2918.3,1,1,12,1,75.18
1853.6,1,4,40,6,80.97
3778.6,6,3,38,9,174.29
981.3,6,4,14,7,104.74
1693.7,3,2,28,4,63.01
897.2,5,2,28,1,44.49
3736.4,1,4,10,2,112.12
3570.7,2,4,31,5,127.73
1402.8,4,1,1,5,104.93
2809.9,1,2,13,8,137.48
3360.3,1,2,19,6,127.4
2443.2,3,4,21,8,127.71
2353.8,5,3,10,2,98.41
1346.5,4,2,26,3,75.94
825.9,6,3,2,6,98.68
3640.3,6,4,16,10,187.95
3651.5,2,4,27,3,121.81
2715.9,4,1,28,6,119.47
1686.6,6,2,20,6,121.83
1722.2,2,3,15,2,66.26
3040.8,5,1,36,7,107.21
3639.9,2,2,19,2,106.6
3604.8,6,1,5,6,160.22
3229.6,3,4,18,1,110.88
2747.1,3,2,4,3,121.62
794.5,3,1,2,2,67.16
1065.7,6,1,0,7,125.47
3644.9,3,3,37,4,109.88
2622.5,4,1,14,8,127.56
532.2,5,2,33,6,73.42
855.2,2,2,34,10,110.73
2822.3,2,3,24,4,109.31
517.7,6,2,23,5,83.29
1062.8,3,4,11,9,119.18
2420.6,3,2,17,7,122.16
2921.6,1,2,14,10,160.07
2781.9,5,1,15,9,147.67
1284.9,4,1,26,7,90.24
2992.6,2,2,7,1,96.23
1330.4,1,3,24,8,109.52
1638.9,1,1,16,4,75.48
3112.7,6,3,28,3,97.72
2773.7,2,2,7,7,129.52
3472.3,6,2,14,3,127.28
2801.6,4,4,26,8,143.15
2489.1,1,1,6,6,120.89
827.9,1,2,2,5,88.17
1787.0,5,4,28,4,90.4
1428.2,4,1,23,8,111.31
1354.0,1,2,2,8,117.03
3905.5,4,2,19,1,119.4
1875.8,2,1,14,9,141.14
3622.2,3,1,24,5,112.85
2709.0,1,1,29,4,85.93
3281.8,5,2,13,6,143.56
2259.2,2,2,6,6,116.72
2519.2,4,4,16,2,113.51
2223.8,6,3,19,8,141.02
1183.4,2,1,35,7,72.11
3028.6,1,2,8,1,96.14
1482.7,4,2,37,5,79.76
585.1,3,1,21,6,77.44
2759.2,2,3,1,4,137.96
1119.9,1,1,23,2,49.01
3791.6,5,3,7,4,141.7
3838.8,6,2,10,1,100.22
3702.0,4,3,12,7,158.29
1795.6,2,4,16,2,88.17
554.1,2,2,7,2,51.57
3749.1,3,4,20,9,147.58
1998.6,3,1,17,5,92.89
3883.3,5,1,29,2,117.89
3872.7,6,1,17,9,181.81
3485.5,5,3,30,9,151.81
1530.6,1,2,37,1,31.36
1847.8,1,1,31,3,57.55
3479.0,5,1,10,4,124.45
1609.2,6,2,24,7,91.69
1093.2,5,1,32,10,121.4
2448.8,6,4,37,4,111.95
3776.5,6,2,40,2,87.35
2936.1,4,2,7,7,158.56
2495.2,6,2,10,6,131.87
840.1,3,4,21,3,75.25
2652.5,6,2,23,6,126.03
3965.2,6,4,40,6,144.66
990.3,6,2,16,5,93.73
2314.2,1,3,11,4,92.08
3570.8,3,1,31,10,170.06
3092.7,3,3,14,1,83.94
2939.6,5,1,15,10,160.27
2958.7,4,4,21,6,137.62
1758.2,6,3,27,2,69.97
1527.6,2,2,19,3,78.13
3332.8,4,1,32,8,153.31
3335.4,4,1,9,10,184.13
3534.8,3,3,39,6,104.63
3696.3,4,4,31,3,116.39
2289.7,6,3,32,7,131.98
2255.3,6,4,1,4,111.14
3294.0,1,4,32,9,152.52
2774.9,6,1,32,5,117.07
2956.9,6,3,40,3,84.52
3285.3,3,3,12,2,116.95
3615.0,6,4,29,2,115.83
1683.0,1,3,32,3,69.06
1814.5,2,2,12,2,64.03
828.9,3,2,25,4,64.08
2524.0,2,3,21,2,66.13
625.8,3,3,38,10,75.85
2129.6,5,4,1,9,160.2
2399.3,4,2,37,2,82.39
1502.9,5,2,38,9,114.19
2567.9,6,1,25,6,119.22
606.8,2,4,14,1,43.06
630.7,6,1,33,4,49.29
3379.1,4,2,39,1,79.16
1760.7,3,4,10,6,118.43
944.7,4,3,2,4,84.44
2327.9,1,4,5,3,107.06
3195.0,4,3,8,3,122.96
1255.4,1,3,5,9,126.78
2680.1,4,4,8,6,146.09
798.7,1,3,38,9,82.81
680.9,2,1,30,5,64.71
2359.7,6,2,31,2,77.53
2392.2,6,3,40,8,128.74
2731.0,5,1,11,5,116.86
3041.3,6,3,7,2,107.62
3915.5,3,2,7,4,139.63
2307.1,4,1,27,9,112.19
1630.3,5,2,19,4,86.44
3283.2,3,2,6,4,110.8
1447.9,3,1,10,2,76.25
2036.4,1,1,19,6,109.53
774.6,6,1,15,2,51.35
588.7,2,4,3,7,105.66
3869.3,2,1,5,3,134.88
3425.9,5,1,21,3,122.24
2935.9,2,1,25,5,109.36
1931.3,4,1,2,3,102.87
1106.5,2,3,40,2,33.14
1047.5,5,4,13,10,136.38
1375.9,2,2,10,9,117.85
2422.3,4,1,17,2,78.01
3001.1,1,3,11,2,98.08
2810.7,5,3,22,8,148.59
1479.8,1,3,11,9,134.93
3842.0,1,2,12,7,153.89
3082.6,1,1,24,3,98.37
2440.2,3,4,18,9,151.94
2641.0,6,4,35,3,123.7
1968.6,3,3,7,5,92.17
1367.1,6,2,28,9,113.06
1745.9,1,2,31,3,76.86
3152.5,5,2,17,7,141.93
550.4,6,4,5,1,71.87
906.3,4,3,17,4,78.33
661.0,4,1,18,4,86.37
642.6,2,4,21,7,76.92
3494.1,6,3,36,8,162.8
2962.8,5,3,31,1,102.45
2159.6,3,1,40,5,72.55
842.4,1,1,2,7,104.58
2220.7,2,1,27,4,73.66
2157.2,4,2,9,4,105.24
1106.2,3,1,34,4,55.86
2018.5,3,3,28,6,78.44
1894.8,1,1,14,7,112.44
2655.5,6,3,32,2,90.44
2722.8,4,4,6,5,146.45
658.6,5,2,11,4,82.48
1811.1,3,4,29,3,98.93
2690.5,1,4,20,7,127.88
2261.0,5,3,30,6,110.66
3497.7,6,4,23,7,153.71
2805.4,4,3,19,5,116.01
1070.3,6,1,36,6,59.03
747.0,3,1,3,5,81.84
2748.5,5,3,27,7,111.19
592.8,5,1,19,2,54.68
2550.2,5,2,23,5,100.2
3790.8,3,4,31,6,129.07
2514.2,3,2,40,6,93.59
1858.6,6,4,35,5,95.12
2751.5,2,1,33,10,137.2
2103.9,6,2,35,7,123.92
2409.7,4,1,1,10,156.12
3795.1,1,4,14,8,166.5
1851.4,5,3,33,7,136.44
3864.2,2,3,35,5,126.56
3668.7,1,2,5,1,103.57
1185.3,2,1,38,5,54.01
742.8,6,1,11,10,124.61
852.7,3,2,2,2,56.59
563.8,5,3,17,5,82.86
830.6,6,4,39,5,74.45
2890.5,1,2,20,2,64.19
749.2,1,4,14,5,76.6
1616.4,1,3,32,4,79.99
3457.1,1,1,34,1,71.45
581.5,1,3,25,3,39.6
3350.6,2,2,7,1,86.64
1486.5,6,1,35,5,63.65
913.6,5,2,29,4,75.39
2938.6,3,2,22,7,129.36
2701.3,3,3,13,5,127.85
3571.2,6,2,13,10,199.34
3072.7,6,3,1,4,147.37
3312.2,3,1,36,2,79.52
1487.1,3,3,4,4,96.49
1121.0,2,1,37,2,31.17
3127.2,4,3,40,8,126.96
3323.9,5,4,13,3,128.51
3966.8,1,4,38,9,145.61
1944.2,4,2,24,4,66.59
1802.1,6,3,19,6,105.46
3217.4,3,3,1,10,176.98
1692.8,4,1,38,5,93.17
3757.7,5,2,5,10,186.24
3504.4,6,3,16,1,115.91
2001.5,1,2,24,9,119.15
3128.0,1,4,27,1,94.23
3140.9,5,3,1,8,180.09
860.9,5,3,34,9,116.28
3658.9,3,2,36,9,133.04
2268.4,1,3,4,1,82.73
3392.6,6,2,0,2,134.44
1620.2,4,3,39,1,52.52
3634.3,6,1,11,10,190.75
1862.2,2,2,35,2,56.83
537.9,2,3,22,10,99.21
3668.8,5,4,30,8,141.41
819.5,3,3,10,5,78.43
1617.6,2,4,9,7,143.93
3825.2,1,4,2,2,119.05
3827.1,6,1,13,8,151.05
2507.0,6,2,15,6,136.47
2711.4,5,3,9,8,162.08
2069.6,4,1,28,1,74.36
1526.2,5,3,9,1,78.53
1650.3,4,4,11,7,130.66
2853.8,5,2,29,8,156.28
3133.3,5,3,40,3,89.71
3270.5,5,3,0,5,138.47
3263.7,4,4,4,1,101.13
819.2,4,3,19,7,94.03
2230.5,5,3,7,5,135.84
701.5,2,4,11,8,110.51
2423.4,3,1,0,8,148.85
2045.4,3,4,19,9,118.51
3607.0,3,1,27,7,131.11
1728.2,4,2,36,1,32.41
909.7,4,1,36,3,59.61
1000.5,2,1,11,8,119.57
3165.3,3,2,36,3,100.3
2663.8,3,1,27,8,117.31
853.9,5,4,14,1,73.7
794.4,4,1,5,5,83.85
2953.4,3,2,19,4,97.72
754.7,6,4,13,5,83.05
3376.5,2,2,1,8,157.43
2971.8,6,2,8,10,176.53
784.7,6,3,36,4,62.78
796.9,2,3,19,4,52.11
3953.2,6,2,25,3,138.2
1809.9,3,2,28,7,102.29
1797.2,4,2,0,3,89.81
3344.8,2,3,34,3,108.3
3815.4,5,3,5,10,182.97
3951.0,6,1,36,5,114.43
3136.8,2,1,4,5,140.76
1816.9,1,2,32,6,105.65
792.3,1,4,13,8,97.82
3220.0,4,4,11,10,177.14
2454.4,3,3,19,6,106.92
1984.8,4,3,23,1,68.85
3672.2,4,3,33,8,145.79
889.2,4,2,24,8,98.56
2224.2,4,4,28,9,140.18
539.7,5,1,38,9,78.91
2140.3,5,2,30,2,71.19
697.1,2,1,22,2,22.8
915.9,1,1,37,3,34.67
911.3,4,2,19,1,47.09
2772.2,2,1,22,4,100.63
3111.2,1,4,15,4,117.62
2541.8,6,1,7,9,166.78
3867.6,3,4,20,9,156.96
1812.0,5,4,0,9,138.38
1500.0,6,4,7,10,157.69
3540.1,1,3,28,7,114.51
1282.6,6,1,31,2,59.18
3871.3,3,2,37,10,150.02
542.5,1,2,4,5,91.38
3894.6,6,1,21,4,136.1
651.1,5,3,33,8,90.93
3619.0,5,3,0,2,143.16
2347.0,2,4,25,6,100.31
3975.4,6,1,9,5,144.07
758.3,4,1,29,2,29.85
2438.5,6,2,17,10,149.52
3892.6,1,1,16,1,99.16
2330.8,1,3,25,8,126.06
2702.9,6,1,7,2,114.57
2935.1,3,2,39,7,99.26
2090.9,5,4,11,9,148.3
2696.5,1,2,26,9,122.05
2545.1,5,2,7,8,147.25
3654.1,1,4,24,10,190.22
659.1,2,2,3,9,116.7
1483.4,4,2,32,2,66.06
3826.4,1,1,0,6,169.64
3615.9,5,1,18,4,138.69
2094.8,2,4,30,4,81.42
2670.5,1,1,15,5,94.15
1470.8,3,1,13,3,74.22
1158.4,4,2,4,1,59.29
2122.9,1,3,40,8,89.71
1736.7,2,1,25,5,85.64
2542.8,3,3,27,3,92.41
772.1,6,1,1,10,152.83
3910.4,2,1,5,7,155.09
3951.7,2,4,8,7,167.44
